date|citizenship|sex
2019-05-24|MEXICO|M
2019-05-30|MEXICO|M
2019-06-17|PERU|M
2019-07-08|MEXICO|M
2019-07-15|MEXICO|M
2019-07-19|MEXICO|M
2019-11-04|MEXICO|M
2019-11-14|MEXICO|M
2019-11-25|MEXICO|M
2019-12-17|MEXICO|M
2020-01-10|MEXICO|M
2020-01-17|MEXICO|M
2020-01-21||M
2020-02-06|MEXICO|M
2020-02-11|MEXICO|M
2020-02-11|MEXICO|M
2020-02-13|MEXICO|M
2020-02-21|MEXICO|M
2020-02-21|MEXICO|M
2020-03-06||M
2020-05-04|MEXICO|M
2020-06-01|MEXICO|M
2020-06-01|MEXICO|M
2020-07-13|GUATEMALA|M
2020-07-27|MEXICO|M
2020-07-29|MEXICO|M
2020-07-31|MEXICO|M
2020-10-22|JAMAICA|M
2020-11-09|MEXICO|M
2020-11-16|MEXICO|M
2020-11-18|MEXICO|M
2020-11-30|MEXICO|M
