year_mth,apprehension_landmark,n
Oct 2021,"GRANT CO. JAIL, WA",1
Oct 2021,GRAY'S HARBOR COUNTY JAIL,2
Oct 2021,"MECKLENBURG COUNTY, NC",2
Oct 2021,Medford VCAS,1
Oct 2021,"WAS GENERAL AREA, NON-SPECIFIC",1
Oct 2021,WASHINGTON STATE PENITENTIARY,1
Oct 2021,YAKIMA NON DETAINED DOCKET,2
Oct 2021,Yakima CAP,1
Nov 2021,FEDERAL DETENTION CENTER (FDC),1
Nov 2021,POO CAP NON-CUSTODIAL ARREST,1
Nov 2021,PORTALND NON-DETAINED ARREST,2
Nov 2021,Richland CAP,2
Nov 2021,SEA CAP,1
Nov 2021,SEATTLE NON-DETAINED DOCKET,2
Nov 2021,SPOKANE CO. JAIL,1
Nov 2021,WASHINGTON CORRECTIONS CENTER (Shelton),1
Nov 2021,YAKIMA NON DETAINED DOCKET,1
Nov 2021,Yakima CAP,9
Dec 2021,FEDERAL DETENTION CENTER (FDC),1
Dec 2021,WASHINGTON STATE PENITENTIARY,3
Dec 2021,Wenatchee CAP,1
Jan 2022,"ABERDEEN CITY JAIL, WA",1
Jan 2022,"GRANT CO. JAIL, WA",1
Jan 2022,PUYALLUP CITY JAIL,1
Jan 2022,STAFFORD CREEK CORRECTIONS,1
Jan 2022,YAKIMA NON DETAINED DOCKET,4
Feb 2022,CHELAN CO. JAIL,1
Feb 2022,YAKIMA Fug Ops,1
Feb 2022,YAKIMA NON DETAINED DOCKET,3
Feb 2022,Yakima CAP,1
Mar 2022,CLACKAMAS COUNTY JAIL,1
Mar 2022,GRAY'S HARBOR COUNTY JAIL,1
Mar 2022,MONROE TWIN RIVERS UNIT (TRU),1
Mar 2022,Richland CAP,1
Mar 2022,SEA CAP,1
Mar 2022,STAFFORD CREEK CORRECTIONS,2
Mar 2022,TOPPENISH CITY PD,1
Apr 2022,"GRANT CO. JAIL, WA",1
Apr 2022,MONROE TWIN RIVERS UNIT (TRU),1
Apr 2022,SEA CAP,2
Apr 2022,SEATTLE NON-DETAINED DOCKET,1
Apr 2022,WASHINGTON CORRECTIONS CENTER (Shelton),2
Apr 2022,YAKIMA NON DETAINED DOCKET,3
May 2022,GRAY'S HARBOR COUNTY JAIL,1
May 2022,YAKIMA Fug Ops,1
May 2022,YAKIMA NON DETAINED DOCKET,7
Jun 2022,CLACKAMAS COUNTY JAIL,1
Jun 2022,Richland CAP,1
Jun 2022,SEATTLE NON-DETAINED DOCKET,2
Jun 2022,WASHINGTON CORRECTIONS CENTER (Shelton),2
Jun 2022,YAKIMA NON DETAINED DOCKET,5
Jul 2022,KLICKITAT CO. JAIL,1
Jul 2022,STAFFORD CREEK CORRECTIONS,1
Jul 2022,Spokane CAP,2
Jul 2022,YAKIMA NON DETAINED DOCKET,18
Jul 2022,Yakima CAP,1
Aug 2022,ADAMS CO. JAIL,1
Aug 2022,COYOTE RIDGE CORRECTIONS,1
Aug 2022,MAT-SU PRETRIAL,1
Aug 2022,SEATTLE NON-DETAINED DOCKET,2
Aug 2022,STAFFORD CREEK CORRECTIONS,1
Aug 2022,WASHINGTON CORRECTIONS CENTER (Shelton),5
Aug 2022,YAKIMA NON DETAINED DOCKET,7
Aug 2022,Yakima CAP,1
Sep 2022,CHELAN CO. JAIL,1
Sep 2022,KITTITAS CO. JAIL,1
Sep 2022,WASHINGTON CORRECTIONS CENTER (Shelton),2
Sep 2022,YAKIMA Fug Ops,1
Sep 2022,YAKIMA NON DETAINED DOCKET,6
Oct 2022,CHELAN CO. JAIL,1
Oct 2022,Richland CAP,1
Oct 2022,SEATTLE NON-DETAINED DOCKET,1
Oct 2022,WASHINGTON CORRECTIONS CENTER (Shelton),1
Oct 2022,WHITMAN CO. JAIL,1
Oct 2022,YAKIMA Fug Ops,2
Oct 2022,YAKIMA NON DETAINED DOCKET,13
Nov 2022,"GRANT CO. JAIL, WA",1
Nov 2022,Medford Non-Detained Docket,1
Nov 2022,Richland CAP,1
Nov 2022,STAFFORD CREEK CORRECTIONS,1
Nov 2022,WASHINGTON STATE PENITENTIARY,1
Nov 2022,YAKIMA Fug Ops,1
Nov 2022,YAKIMA NON DETAINED DOCKET,26
Nov 2022,NA,1
Dec 2022,Medford Fug Ops,1
Dec 2022,STAFFORD CREEK CORRECTIONS,4
Dec 2022,WASHINGTON CORRECTIONS CENTER (Shelton),1
Dec 2022,YAKIMA NON DETAINED DOCKET,11
Jan 2023,Richland CAP,1
Jan 2023,SPOKANE CO. JAIL,1
Jan 2023,WASHINGTON CORRECTIONS CENTER (Shelton),1
Jan 2023,YAKIMA NON DETAINED DOCKET,25
